video name,mos,accepted scores,rejected scores
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_500k_360_3,2.941,2 4 1 2 4 5 1 4 3 4 4 2 4 4 4 4 4 1 1 2 1 4 4 3 1 3 2 3 3 4 2 3 3 4,5 4 1 2 2 1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_500k_360_4,3.676,2 5 1 3 4 5 2 4 5 4 4 3 4 4 5 4 5 1 5 4 1 5 5 3 1 5 5 4 4 4 4 2 4 4,4 3 1 3 2 1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_500k_360_5,3.235,2 5 1 2 4 5 1 4 3 4 4 4 3 2 5 5 4 1 1 4 1 4 5 3 1 4 5 3 4 5 3 3 3 2,4 5 1 5 2 1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_500k_360_6,3.559,2 4 1 3 4 5 2 4 5 4 4 5 4 3 5 4 4 1 5 2 1 5 5 3 1 5 5 4 4 4 3 3 4 3,3 4 1 4 3 1 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_0_500k_360_7,3.588,2 5 1 3 4 5 2 4 5 4 4 2 4 3 5 5 4 1 1 4 5 5 5 3 1 5 5 4 3 3 4 3 4 4,4 5 1 3 4 1 1
original_videos_Sports_720P_Sports_720P-3072_0_300k_180_3,2.29,1 1 4 3 1 4 3 4 3 2 4 1 3 3 1 1 2 3 3 2 1 1 3 3 2 2 3 1 1 2 3,4 5 2 5 5 4 4 1 3
original_videos_Sports_720P_Sports_720P-3072_0_300k_180_4,2.323,2 1 3 4 1 3 3 4 3 3 2 2 2 3 1 1 2 3 4 2 1 1 3 3 2 2 3 1 1 2 4,4 3 4 3 5 4 4 1 2
original_videos_Sports_720P_Sports_720P-3072_0_300k_180_5,2.258,1 1 4 3 1 3 3 4 3 2 2 1 3 3 1 1 2 3 4 2 1 1 3 3 3 2 3 1 1 2 3,3 4 3 3 4 4 5 1 3
original_videos_Sports_720P_Sports_720P-3072_0_300k_180_6,2.742,1 1 4 5 1 4 3 4 3 3 4 2 3 3 1 1 2 3 4 4 1 1 4 5 3 4 3 1 1 2 4,5 5 4 3 4 4 5 1 1
original_videos_Sports_720P_Sports_720P-3072_0_300k_180_7,2.419,1 1 4 3 1 3 3 4 3 3 4 2 3 3 1 1 2 3 3 2 1 1 4 3 2 3 3 1 1 2 4,4 4 3 3 3 4 5 1 2
original_videos_Sports_720P_Sports_720P-3072_0_300k_180_8,2.355,1 1 4 3 1 3 3 4 3 3 4 1 3 3 1 1 2 3 3 2 1 1 4 3 3 2 3 1 1 2 3,3 3 4 3 5 4 2 1 2
original_videos_Sports_720P_Sports_720P-3072_0_100k_90_3,1.875,1 1 2 3 3 1 3 4 2 3 2 3 3 1 2 3 1 1 1 2 1 1 2 2 2 1 2 1 3 1 1 1,3 2 2 1 1 1
original_videos_Sports_720P_Sports_720P-3072_0_100k_90_4,1.781,1 1 2 3 2 1 3 4 3 3 2 2 1 2 2 3 1 1 1 2 1 1 2 2 2 1 1 1 2 1 1 2,3 2 3 1 5 1
original_videos_Sports_720P_Sports_720P-3072_0_100k_90_5,1.906,2 1 2 3 3 1 3 4 2 3 2 2 3 1 2 3 1 1 2 2 1 1 2 2 2 1 2 1 3 1 1 1,3 2 2 1 1 1
original_videos_Sports_720P_Sports_720P-3072_0_100k_90_6,2.062,1 1 2 4 4 1 4 4 3 3 2 2 3 1 2 3 1 1 2 2 1 1 2 2 2 1 2 1 3 1 1 3,3 2 4 1 1 1
original_videos_Sports_720P_Sports_720P-3072_0_100k_90_7,1.938,1 1 2 3 3 1 4 4 2 3 2 2 3 1 2 3 1 1 1 2 1 1 2 2 2 1 3 1 3 1 1 2,3 2 3 1 1 1
original_videos_Sports_720P_Sports_720P-3072_0_100k_90_8,2.031,2 1 2 4 2 1 4 4 3 3 2 3 3 1 2 3 1 1 1 2 1 1 2 2 2 1 3 1 3 1 1 2,3 2 3 1 1 1
original_videos_Sports_720P_Sports_720P-3072_2_100k_90_3,1.188,1 1 1 1 1 1 1 1 2 1 1 1 1 3 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1,2 3 1
original_videos_Sports_720P_Sports_720P-3072_2_100k_90_4,1.188,1 1 1 3 1 1 1 1 2 1 1 1 1 3 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 2
original_videos_Sports_720P_Sports_720P-3072_2_100k_90_5,1.25,1 1 1 3 1 1 1 1 2 1 1 1 1 3 1 1 1 1 2 1 1 1 1 2 1 1 2 1 1 1 1 1,1 2 2
original_videos_Sports_720P_Sports_720P-3072_2_100k_90_6,1.188,1 1 1 2 1 1 1 1 2 1 1 1 1 3 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1,1 1 1
original_videos_Sports_720P_Sports_720P-3072_2_100k_90_7,1.125,1 1 1 1 1 1 1 1 2 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2,1 1 1
original_videos_Sports_720P_Sports_720P-3072_2_100k_90_8,1.344,1 1 1 4 1 1 1 1 2 1 1 3 1 3 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 2,1 2 2
original_videos_Sports_720P_Sports_720P-3072_2_300k_180_3,1.514,1 1 1 1 1 1 1 1 3 2 3 1 2 2 3 1 1 2 1 1 1 2 1 1 3 1 2 1 1 2 1 3 1 2 1,3 3 2 3 2 5 2 1 2 1
original_videos_Sports_720P_Sports_720P-3072_2_300k_180_4,1.543,1 1 1 1 1 1 1 1 3 2 2 1 3 2 2 1 1 2 2 2 1 2 1 1 2 1 2 1 2 2 1 3 1 2 1,4 1 3 2 3 2 2 1 2 1
original_videos_Sports_720P_Sports_720P-3072_2_300k_180_5,1.314,1 1 1 1 1 1 1 1 2 1 2 1 2 2 2 1 1 1 1 2 1 2 1 1 2 1 1 1 1 1 1 3 1 2 1,2 1 3 2 3 1 2 2 2 1
original_videos_Sports_720P_Sports_720P-3072_2_300k_180_6,1.429,1 1 1 1 1 1 1 1 3 1 2 1 2 3 1 1 1 1 1 1 2 2 1 1 2 1 2 1 3 1 1 4 1 1 1,2 3 4 2 3 2 1 2 2 1
original_videos_Sports_720P_Sports_720P-3072_2_300k_180_7,1.229,1 1 1 1 1 1 1 1 2 1 3 1 1 2 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 3 1 1 1,2 2 1 3 2 2 1 1 1 1
original_videos_Sports_720P_Sports_720P-3072_2_300k_180_8,1.514,1 1 1 2 1 1 1 1 3 2 2 1 2 2 2 1 1 1 1 2 1 2 1 1 3 1 1 1 2 2 1 3 1 2 2,2 1 3 2 4 5 1 2 2 1
original_videos_Sports_720P_Sports_720P-3072_2_3000k_720_3,2.559,2 1 2 3 4 5 1 4 3 2 4 4 2 3 1 1 2 4 4 4 2 4 1 1 3 2 1 3 3 1 4 1 3 2,1 3 2 4 2
original_videos_Sports_720P_Sports_720P-3072_2_3000k_720_4,2.382,2 1 2 3 4 4 1 4 3 2 4 4 2 3 1 1 2 2 4 3 2 4 1 1 2 2 1 3 3 1 4 1 3 1,1 3 3 3 2
original_videos_Sports_720P_Sports_720P-3072_2_3000k_720_5,2.382,2 1 2 3 4 5 1 4 3 2 4 4 2 3 1 1 2 3 2 3 2 4 1 1 3 2 1 3 2 1 4 1 3 1,1 3 1 3 2
original_videos_Sports_720P_Sports_720P-3072_2_3000k_720_6,2.088,2 1 1 3 3 1 1 4 3 2 4 3 2 3 1 1 2 3 1 3 2 4 1 1 2 2 1 3 2 1 4 1 2 1,1 2 2 3 2
original_videos_Sports_720P_Sports_720P-3072_2_3000k_720_7,2.,1 1 1 3 1 5 1 4 2 2 4 3 2 3 1 1 2 3 1 3 2 4 1 1 2 2 1 2 1 1 3 1 2 1,1 2 2 2 1
original_videos_Sports_720P_Sports_720P-3072_2_3000k_720_8,2.559,2 1 2 3 4 5 1 4 3 2 4 4 2 3 1 1 2 4 3 3 2 4 1 1 3 3 1 3 3 1 4 1 3 3,1 3 5 3 2
original_videos_Sports_720P_Sports_720P-2c06_0_300k_180_3,2.633,3 1 2 4 2 4 3 1 4 3 4 1 4 1 2 3 2 4 2 3 1 5 4 2 3 1 1 3 3 3,4 4 3 4 2 3 5 1 5 1
original_videos_Sports_720P_Sports_720P-2c06_0_300k_180_4,2.433,3 1 2 4 1 4 3 1 4 3 3 1 3 1 2 4 2 4 2 4 1 4 3 3 2 1 1 2 2 2,4 5 3 4 2 4 5 2 5 1
original_videos_Sports_720P_Sports_720P-2c06_0_300k_180_5,2.4,2 1 2 4 1 4 3 1 4 3 3 1 3 1 2 4 2 4 3 3 1 5 4 2 2 1 1 2 2 1,4 5 3 5 3 4 5 4 4 1
original_videos_Sports_720P_Sports_720P-2c06_0_300k_180_6,2.633,2 1 3 4 2 4 3 1 4 3 4 1 2 1 2 4 2 4 3 4 1 5 4 2 2 1 1 3 3 3,4 3 4 3 3 4 5 1 4 1
original_videos_Sports_720P_Sports_720P-2c06_0_300k_180_7,2.9,2 1 3 4 1 4 4 3 4 4 3 1 4 1 2 3 2 4 3 4 1 5 4 4 3 1 1 3 4 4,4 4 5 4 4 4 5 5 1 1
original_videos_Sports_720P_Sports_720P-2c06_2_3000k_720_3,2.575,1 1 3 3 1 2 4 4 4 3 1 3 4 4 4 4 1 1 2 1 2 3 3 4 3 1 3 4 2 3 1 3 3 1 3 1 3 3 4 2,2 4 5 5
original_videos_Sports_720P_Sports_720P-2c06_2_3000k_720_4,2.4,1 1 3 3 1 2 4 3 4 3 1 3 4 4 3 3 1 1 2 1 2 1 3 4 3 1 3 3 2 2 1 3 3 1 3 1 3 3 3 3,2 4 4 5
original_videos_Sports_720P_Sports_720P-2c06_2_3000k_720_5,2.1,1 1 2 3 1 2 3 3 4 2 1 3 3 2 3 3 1 1 2 1 1 3 3 4 3 1 3 2 2 2 1 2 2 1 3 1 2 3 1 2,2 4 3 5
original_videos_Sports_720P_Sports_720P-2c06_2_3000k_720_6,2.35,2 1 2 3 1 2 3 4 4 3 1 3 4 4 4 4 1 1 2 1 1 2 3 4 3 1 3 3 2 3 1 3 2 1 3 1 3 2 1 2,3 2 4 5
original_videos_Sports_720P_Sports_720P-2c06_2_3000k_720_7,2.575,1 1 3 3 1 2 4 4 4 3 1 3 4 4 4 3 1 1 2 1 2 3 3 4 4 1 3 3 2 3 1 3 3 1 3 1 3 4 2 4,3 5 3 5
original_videos_Sports_720P_Sports_720P-2c06_2_100k_90_3,1.357,1 1 1 2 1 1 1 1 1 1 1 2 1 2 3 1 1 1 1 1 1 1 3 1 1 1 1 1 1 3 2 2 1 1 1 1 2 1 1 1 2 3,1 4 1 2 5 3
original_videos_Sports_720P_Sports_720P-2c06_2_100k_90_4,1.19,1 1 1 2 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 3 1 1 1 1 1 1 3 1 1 1 1 1 1 2 1 1 1 1 1,1 3 1 2 1 1
original_videos_Sports_720P_Sports_720P-2c06_2_100k_90_5,1.143,1 1 1 2 1 1 1 1 1 1 1 2 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1
original_videos_Sports_720P_Sports_720P-2c06_2_100k_90_6,1.31,1 1 1 2 2 1 1 1 1 1 1 2 1 3 2 1 1 1 1 1 1 1 2 1 1 1 2 1 1 4 2 1 1 1 1 1 1 1 1 1 1 2,1 2 1 2 2 1
original_videos_Sports_720P_Sports_720P-2c06_2_100k_90_7,1.548,3 1 1 2 3 1 1 1 1 1 1 2 1 2 2 1 1 1 1 1 1 1 2 1 1 1 3 1 1 4 2 3 1 1 1 1 2 1 3 2 2 2,4 3 5 4 2 1
original_videos_Sports_720P_Sports_720P-2c06_2_300k_180_3,1.581,1 1 3 1 1 1 1 3 3 1 3 1 1 2 1 1 1 2 2 1 1 4 1 1 1 2 1 1 2 2 2,2 4 3 2 2 3 5 2 5 1 1 2
original_videos_Sports_720P_Sports_720P-2c06_2_300k_180_4,1.387,1 1 3 1 1 1 1 3 3 1 2 1 1 1 1 1 1 2 1 1 1 4 1 1 1 2 1 1 1 1 1,3 3 2 2 1 2 2 1 1 1 1 1
original_videos_Sports_720P_Sports_720P-2c06_2_300k_180_5,1.323,1 1 2 1 1 1 1 2 3 1 3 1 1 1 1 1 1 2 2 1 1 2 1 1 1 2 1 1 1 1 1,2 3 1 2 1 3 1 1 1 1 1 1
original_videos_Sports_720P_Sports_720P-2c06_2_300k_180_6,1.581,1 2 2 1 1 1 1 2 4 1 3 1 1 2 1 1 1 3 2 1 1 3 1 1 1 2 1 1 2 2 2,2 3 4 2 1 3 1 1 2 2 1 1
original_videos_Sports_720P_Sports_720P-2c06_2_300k_180_7,1.71,3 2 2 1 1 1 1 3 4 1 3 2 1 2 1 1 1 2 3 1 1 3 1 1 1 2 1 1 2 2 2,4 4 4 2 3 2 2 1 2 3 1 2
original_videos_Sports_720P_Sports_720P-2c06_0_100k_90_3,2.1,1 1 1 4 3 2 1 4 3 2 2 4 3 3 3 1 1 2 1 2 2 2 1 3 1 1 1 3 4 2 2 2 2 1 1 3 1 1 4 3,3 3 5 5 1
original_videos_Sports_720P_Sports_720P-2c06_0_100k_90_4,1.975,1 1 1 4 3 2 1 4 4 2 2 2 3 2 3 1 1 2 1 3 2 2 1 3 1 1 1 3 3 2 2 2 2 1 1 3 1 1 2 2,3 2 1 3 1
original_videos_Sports_720P_Sports_720P-2c06_0_100k_90_5,1.85,1 1 1 3 3 3 1 4 3 2 1 1 3 3 3 1 1 2 1 3 2 2 1 2 1 1 1 2 3 2 2 2 1 1 1 4 1 1 2 1,3 3 1 2 1
original_videos_Sports_720P_Sports_720P-2c06_0_100k_90_6,2.2,2 1 1 3 3 3 1 4 4 2 2 3 3 3 3 1 1 2 1 4 2 2 2 3 3 1 1 3 4 2 2 2 2 1 2 3 1 1 2 2,3 3 1 2 1
original_videos_Sports_720P_Sports_720P-2c06_0_100k_90_7,2.4,3 1 2 4 4 3 1 4 4 2 2 4 3 3 3 1 1 2 1 3 2 2 1 3 3 1 1 3 4 2 3 2 3 1 2 4 1 1 3 3,4 3 1 5 1
original_videos_Sports_480P_Sports_480P-44e5_0_200k_144_3,1.939,3 1 2 3 3 1 4 2 1 2 3 1 1 2 1 1 2 2 3 2 1 1 1 1 3 2 3 1 2 1 1 5 2,5 4 1 2 4 5 3 1 1 2 2
original_videos_Sports_480P_Sports_480P-44e5_0_200k_144_4,2.152,2 1 2 3 3 1 4 3 2 2 3 1 1 2 1 2 3 3 3 2 1 2 1 1 4 2 3 1 2 2 2 4 2,5 3 1 2 5 5 4 5 1 3 5
original_videos_Sports_480P_Sports_480P-44e5_0_200k_144_5,2.606,3 1 2 3 3 1 4 3 3 2 3 1 1 2 1 4 3 3 4 3 2 3 1 1 5 2 4 1 2 2 4 5 4,5 3 1 5 3 5 5 5 1 4 5
original_videos_Sports_480P_Sports_480P-44e5_0_200k_144_6,2.697,3 1 2 4 3 1 4 4 4 2 3 1 1 2 1 3 5 3 4 3 1 4 1 1 4 2 4 1 2 3 4 5 3,5 2 1 3 3 5 5 5 1 5 4
original_videos_Sports_480P_Sports_480P-44e5_0_200k_144_7,3.03,3 1 2 5 3 5 4 3 5 2 3 1 1 2 1 4 4 3 5 3 2 4 1 1 5 4 3 1 3 3 5 5 3,5 3 5 5 4 5 5 4 1 5 4
original_videos_Sports_480P_Sports_480P-44e5_2_3000k_576_3,2.371,3 1 2 3 3 4 4 1 4 3 3 2 3 1 1 2 2 3 4 4 1 1 3 2 2 1 3 3 2 1 1 3 3 2 2,3 4 4 4 3 2 3 3 5 1
original_videos_Sports_480P_Sports_480P-44e5_2_3000k_576_4,2.571,2 1 2 3 3 4 4 1 4 4 3 2 4 1 1 2 2 4 4 4 1 1 4 2 2 1 3 3 3 1 3 3 3 2 3,3 4 3 5 5 2 4 5 5 2
original_videos_Sports_480P_Sports_480P-44e5_2_3000k_576_5,2.457,3 1 2 3 3 4 4 1 4 3 3 2 4 1 1 2 2 3 4 4 2 1 3 1 2 1 3 3 2 1 3 3 3 2 2,3 2 4 5 3 2 3 3 1 2
original_videos_Sports_480P_Sports_480P-44e5_2_3000k_576_6,2.714,3 1 2 3 3 4 4 1 4 3 3 2 3 1 1 2 2 3 4 4 3 1 4 2 3 1 3 4 4 1 4 3 3 2 4,3 4 5 5 4 2 3 4 1 1
original_videos_Sports_480P_Sports_480P-44e5_2_3000k_576_7,2.171,2 1 1 3 2 4 3 1 4 3 2 2 3 1 1 2 2 4 2 4 3 1 2 1 2 1 3 3 2 1 3 2 2 2 1,3 2 3 2 2 2 3 3 1 1
original_videos_Sports_480P_Sports_480P-44e5_2_100k_72_3,1.056,1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,5 2 1 1 1 1 5 1
original_videos_Sports_480P_Sports_480P-44e5_2_100k_72_4,1.194,1 1 1 1 1 1 1 1 1 1 3 1 2 1 1 1 1 2 2 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1,5 2 1 1 1 1 5 2
original_videos_Sports_480P_Sports_480P-44e5_2_100k_72_5,1.361,2 1 1 1 1 1 2 1 1 2 3 1 2 1 1 1 2 2 2 1 1 2 1 1 2 1 1 1 2 1 1 1 1 1 2 1,5 3 2 2 1 1 5 5
original_videos_Sports_480P_Sports_480P-44e5_2_100k_72_6,1.583,3 1 1 1 2 1 2 1 1 2 4 1 2 1 1 1 3 2 2 1 1 3 1 1 3 1 1 1 2 1 2 1 1 1 2 2,5 2 3 2 1 1 5 2
original_videos_Sports_480P_Sports_480P-44e5_2_100k_72_7,1.417,3 1 1 3 2 1 2 1 1 2 2 1 3 1 1 1 2 1 1 1 1 3 1 1 2 1 1 1 1 1 1 1 1 1 2 1,5 5 4 1 1 1 2 4
original_videos_Sports_480P_Sports_480P-44e5_0_100k_72_3,1.433,1 1 1 4 2 1 1 3 1 1 2 1 1 2 2 2 1 1 1 1 2 1 1 2 1 1 2 1 1 1,3 3 1 2 2 1 5 1 1
original_videos_Sports_480P_Sports_480P-44e5_0_100k_72_4,1.933,2 1 1 4 3 3 2 3 1 1 2 1 3 3 2 3 1 2 1 1 2 2 2 2 2 1 2 1 2 2,3 1 2 1 3 1 1 1 1
original_videos_Sports_480P_Sports_480P-44e5_0_100k_72_5,2.133,1 1 1 4 3 3 2 3 1 1 2 1 3 3 2 3 1 3 1 1 3 3 2 2 3 1 2 2 4 2,4 1 1 3 4 1 1 1 1
original_videos_Sports_480P_Sports_480P-44e5_0_100k_72_6,2.3,2 1 1 4 3 4 2 3 1 1 2 1 3 3 2 4 1 3 1 1 4 3 2 2 3 1 2 2 4 3,4 1 3 3 4 1 1 1 2
original_videos_Sports_480P_Sports_480P-44e5_0_100k_72_7,2.3,3 1 2 4 3 4 2 3 1 1 2 1 2 2 2 4 2 4 1 1 4 3 2 2 2 1 2 3 2 3,5 3 3 4 5 2 5 1 2
original_videos_Sports_480P_Sports_480P-44e5_2_200k_144_3,1.265,1 1 2 1 1 1 1 4 2 1 3 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1,1 1 1 1 1 1
original_videos_Sports_480P_Sports_480P-44e5_2_200k_144_4,1.324,1 1 1 1 1 1 1 4 2 1 2 1 1 2 1 1 1 2 1 2 2 1 1 2 1 1 1 2 1 1 1 1 1 1,2 2 1 2 1 1
original_videos_Sports_480P_Sports_480P-44e5_2_200k_144_5,1.647,1 1 2 1 1 1 1 4 2 1 3 1 1 3 1 1 2 2 2 2 2 2 1 3 1 1 1 3 1 1 1 2 2 2,3 1 1 3 1 2
original_videos_Sports_480P_Sports_480P-44e5_2_200k_144_6,1.824,1 2 2 1 1 3 1 4 3 1 3 1 1 3 1 1 2 2 2 2 3 1 1 3 1 1 1 3 1 2 1 2 3 2,3 2 2 3 1 2
original_videos_Sports_480P_Sports_480P-44e5_2_200k_144_7,1.647,1 1 3 1 1 1 1 4 2 1 3 1 1 4 1 1 3 1 2 1 2 2 1 2 1 2 1 2 1 1 1 2 3 1,3 1 2 3 1 2
original_videos_Sports_720P_Sports_720P-07d0_2_200k_180_3,1.514,1 1 2 1 1 1 2 1 3 1 1 3 1 1 1 2 1 3 1 2 1 1 3 2 1 1 1 3 1 1 2 1 2 1 2,3 4 3 3 1 1 1 2
original_videos_Sports_720P_Sports_720P-07d0_2_200k_180_4,1.429,1 1 2 1 1 1 2 1 2 1 1 2 1 1 1 2 1 3 1 2 1 1 3 1 1 1 1 2 1 1 3 1 2 2 1,2 4 3 1 2 2 1 2
original_videos_Sports_720P_Sports_720P-07d0_2_200k_180_5,1.657,1 1 1 1 5 1 2 1 4 1 1 3 2 1 1 2 1 3 1 2 1 1 3 2 1 1 1 2 1 1 3 1 2 1 2,2 4 3 2 2 1 1 2
original_videos_Sports_720P_Sports_720P-07d0_2_200k_180_6,1.8,2 1 3 1 1 3 2 1 2 2 1 3 2 1 1 2 1 3 1 2 1 1 3 2 1 1 2 3 1 2 4 1 2 2 2,4 4 3 4 4 5 5 5
original_videos_Sports_720P_Sports_720P-07d0_2_200k_180_7,1.514,1 1 2 1 1 1 2 1 3 2 1 3 1 1 1 2 1 3 1 2 1 1 3 1 1 1 1 2 1 1 3 1 2 2 1,3 4 3 3 2 1 1 2
original_videos_Sports_720P_Sports_720P-07d0_2_200k_180_8,1.514,1 1 2 1 1 1 3 1 2 1 1 3 1 1 1 2 1 3 1 2 1 1 3 1 1 1 1 3 1 1 3 1 2 2 1,3 4 3 2 1 1 2 2
original_videos_Sports_720P_Sports_720P-07d0_2_1000k_720_3,2.567,2 1 4 2 4 3 4 2 4 1 1 2 3 4 4 1 1 3 3 2 2 1 3 3 1 4 4 4 2 2,1 1
original_videos_Sports_720P_Sports_720P-07d0_2_1000k_720_4,2.267,1 1 4 2 4 3 2 2 3 1 1 2 2 4 4 1 1 2 3 2 2 1 3 2 1 4 3 3 2 2,1 1
original_videos_Sports_720P_Sports_720P-07d0_2_1000k_720_5,2.367,2 1 4 2 4 3 2 2 3 1 1 2 2 4 4 1 1 2 2 2 2 1 3 3 1 4 4 3 2 3,1 1
original_videos_Sports_720P_Sports_720P-07d0_2_1000k_720_6,3.333,4 5 4 2 4 3 5 2 4 1 1 4 5 4 5 1 1 3 4 5 2 1 4 4 1 5 4 4 4 4,1 5
original_videos_Sports_720P_Sports_720P-07d0_2_1000k_720_7,2.4,2 1 4 2 4 3 3 2 3 1 1 2 3 4 4 1 1 2 2 1 2 1 3 3 1 4 4 4 2 2,1 1
original_videos_Sports_720P_Sports_720P-07d0_2_1000k_720_8,2.433,2 1 4 2 4 3 3 2 3 1 1 2 2 4 4 1 1 2 2 2 2 1 3 3 1 4 3 4 3 3,1 5
original_videos_Sports_720P_Sports_720P-07d0_2_100k_90_3,1.094,1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1,2 1 2 1 2 1
original_videos_Sports_720P_Sports_720P-07d0_2_100k_90_4,1.125,1 1 1 1 1 1 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1,1 1 1 1 3 1
original_videos_Sports_720P_Sports_720P-07d0_2_100k_90_5,1.312,1 1 1 1 2 1 1 3 2 1 1 2 2 1 1 1 1 1 1 1 1 3 2 1 1 2 1 1 1 1 1 1,1 3 1 1 2 1
original_videos_Sports_720P_Sports_720P-07d0_2_100k_90_6,1.344,1 1 1 1 2 1 1 4 1 1 1 2 2 1 1 2 1 1 1 1 1 2 2 1 1 2 1 1 1 2 1 1,2 2 2 2 2 2
